Name,Language,Sex,Age,Email,,,,,,
"Exercise, Medicine Ball Overhead Slam",Set,1,weight,0,reps,0,time,00:00:00,,
,,,,,,,,,,
"Exercise, Incline Push-Up",Set,1,reps,0,bodyweight,0,extraWeight,0,,
,,,,,,,,,,
"Exercise, Box Jump",Set,1,reps,0,bodyweight,0,height,0,,
,,,,,,,,,,
"Exercise, Medicine Ball Overhead Slam",Set,1,weight,0,reps,0,time,00:00:00,,
,,,,,,,,,,
"Exercise, Incline Push-Up",Set,1,reps,0,bodyweight,0,extraWeight,0,,
,,,,,,,,,,
"Exercise, Box Jump",Set,1,reps,0,bodyweight,0,height,0,,
,,,,,,,,,,
"Exercise, Medicine Ball Overhead Slam",Set,1,weight,0,reps,0,time,00:00:00,,
,,,,,,,,,,
"Exercise, Incline Push-Up",Set,1,reps,0,bodyweight,0,extraWeight,0,,
,,,,,,,,,,
"Exercise, Box Jump",Set,1,reps,0,bodyweight,0,height,0,,
,,,,,,,,,,
"Exercise, Medicine Ball Overhead Slam",Set,1,weight,0,reps,0,time,00:00:00,,
,,,,,,,,,,
"Exercise, Incline Push-Up",Set,1,reps,0,bodyweight,0,extraWeight,0,,
,,,,,,,,,,
"Exercise, Box Jump",Set,1,reps,0,bodyweight,0,height,0,,
,,,,,,,,,,
"Exercise, Medicine Ball Overhead Slam",Set,1,weight,0,reps,0,time,00:00:00,,
,,,,,,,,,,
"Exercise, Incline Push-Up",Set,1,reps,0,bodyweight,0,extraWeight,0,,
,,,,,,,,,,
"Exercise, Box Jump",Set,1,reps,0,bodyweight,0,height,0,,
,,,,,,,,,,
"Exercise, Medicine Ball Overhead Slam",Set,1,weight,0,reps,0,time,00:00:00,,
,,,,,,,,,,
"Exercise, Incline Push-Up",Set,1,reps,0,bodyweight,0,extraWeight,0,,
,,,,,,,,,,
"Exercise, Box Jump",Set,1,reps,0,bodyweight,0,height,0,,
,,,,,,,,,,
"Exercise, Medicine Ball Overhead Slam",Set,1,weight,0,reps,0,time,00:00:00,,
,,,,,,,,,,
"Exercise, Incline Push-Up",Set,1,reps,0,bodyweight,0,extraWeight,0,,
,,,,,,,,,,
"Exercise, Box Jump",Set,1,reps,0,bodyweight,0,height,0,,
,,,,,,,,,,
"Exercise, Medicine Ball Overhead Slam",Set,1,weight,0,reps,0,time,00:00:00,,
,,,,,,,,,,
"Exercise, Incline Push-Up",Set,1,reps,0,bodyweight,0,extraWeight,0,,
,,,,,,,,,,
"Exercise, Box Jump",Set,1,reps,0,bodyweight,0,height,0,,
,,,,,,,,,,
"Exercise, Medicine Ball Overhead Slam",Set,1,weight,0,reps,0,time,00:00:00,,
,,,,,,,,,,
"Exercise, Incline Push-Up",Set,1,reps,0,bodyweight,0,extraWeight,0,,
,,,,,,,,,,
"Exercise, Glute Ham Raise",Set,1,reps,12,bodyweight,0,extraWeight,10,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Kettlebell Halo ",Set,1,reps,8,weight,16,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Glute Ham Raise",Set,1,reps,12,bodyweight,0,extraWeight,10,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Kettlebell Halo ",Set,1,reps,8,weight,16,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
